GroupID,BeadColor,Distance_in,Transect_m
11,Green,25.5,37
11,Green,19.7,37
11,Green,1.5,37
11,Green,8.6,37
11,Green,5,37
11,Green,9.6,37
11,Green,17,37
11,Green,55,37
11,Green,48.3,37
11,Green,17.8,37
11,Green,0.7,37
11,Green,38.5,37
11,Green,0.3,37
12,Clear,9.5,37
12,Clear,6.5,37
12,Clear,10,37
12,Clear,3,37
12,Clear,36,37
12,Clear,19,37
12,Clear,18.5,37
12,Clear,44,37
12,Clear,45,37
12,Clear,48,37
12,Clear,4,37
12,Clear,10,37
12,Clear,16,37
12,Clear,18,37
12,Clear,7,37
12,Clear,8,37
12,Clear,20,37
12,Clear,13,37
12,Clear,7,37
12,Clear,31,37
12,Clear,20,37
12,Clear,5.5,37
12,Clear,26.5,37
12,Clear,22.5,37
12,Clear,26,37
12,Clear,25,37
12,Clear,3.5,37
12,Clear,4.5,37
12,Clear,8,37
12,Green,3,37
12,Green,18,37
12,Green,25,37
12,Green,30,37
12,Green,48,37
12,Green,7.5,37
12,Green,6,37
12,Green,11,37
12,Green,5,37
12,Green,26.5,37
12,Green,27.5,37
12,Green,34.5,37
12,Green,13,37
12,Green,45,37
12,Green,1.5,37
12,Green,16.5,37
12,Green,15,37
