Camera.trap.days	species	sd
74	74	12.62	1.97857207974526
75	75	12.7	2.00756146364265
76	76	12.79	1.99137027083251
77	77	12.85	1.9917760208346
78	78	12.91	2.01055296680372
79	79	13.01	2.03750193654243
80	80	13.04	2.03960780543711
81	81	13.17	2.07950557449203
82	82	13.19	2.06312012409958
83	83	13.25	2.09557012323953
84	84	13.31	2.10192312135359
85	85	13.36	2.1202248784866
86	86	13.41	2.13245720645778
87	87	13.47	2.13416177096453
88	88	13.51	2.14379536939946
89	89	13.57	2.10461253901851
90	90	13.63	2.1065314494388
91	91	13.72	2.0941476895039
92	92	13.78	2.11574186430284
93	93	13.86	2.0744720637874
94	94	13.89	2.06898696726371
95	95	13.93	2.08047682957149
96	96	13.98	2.06940190451837
97	97	14.04	2.08854499640784
98	98	14.08	2.08738394100647
99	99	14.15	2.07619990863261
100	100	14.17	2.08435732410387
101	101	14.25	2.10038476513618
102	102	14.32	2.08835153200129
103	103	14.42	2.04583834783067
104	104	14.49	2.0572365498946
105	105	14.53	2.07171914168408
106	106	14.58	2.05568932133691
107	107	14.58	2.05568932133691
108	108	14.63	2.05310801597299
109	109	14.66	2.04109299299679
110	110	14.68	2.02947970642425
111	111	14.73	2.01937584116449
112	112	14.77	2.01436758504419
113	113	14.9	2.0572610996962
114	114	14.93	2.05113912672245
115	115	14.99	2.07678364376993
116	116	15.03	2.05704014093409
117	117	15.1	2.06216518555747
118	118	15.15	2.07132905169701
119	119	15.24	2.05539447908339
120	120	15.31	2.10192312135359
121	121	15.35	2.10998109044138
122	122	15.39	2.09807511589056
123	123	15.43	2.09980759099302
124	124	15.46	2.10060116455391
125	125	15.51	2.11533601695959
126	126	15.54	2.1101965057618
127	127	15.57	2.10461253901851
128	128	15.64	2.06715536743887
129	129	15.68	2.07379026437247
130	130	15.72	2.0941476895039
131	131	15.78	2.06255700870095
132	132	15.82	2.10521238641596
133	133	15.86	2.12735905894058
134	134	15.92	2.11621923211747
135	135	15.95	2.11953396821666
136	136	16.02	2.11287539250246
137	137	16.08	2.11144069729221
138	138	16.11	2.14096645787303
139	139	16.17	2.14172119963587
140	140	16.23	2.15488638993692
141	141	16.3	2.17190508935628
142	142	16.33	2.14643232298894
143	143	16.37	2.13983384609387
144	144	16.4	2.12726409391324
145	145	16.47	2.12467466315255
146	146	16.52	2.13900760525846
147	147	16.57	2.10461253901851
148	148	16.58	2.11860445777046
149	149	16.65	2.09074439404058
150	150	16.69	2.11151245520476
151	151	16.71	2.10480450878508
152	152	16.77	2.05900338744135
153	153	16.81	2.09711201128571
154	154	16.87	2.07269404545403
155	155	16.9	2.08651272546691
156	156	16.96	2.06910901627056
157	157	17	2.04494943258218
158	158	17.04	2.01970094796035
159	159	17.06	1.99403149828723
160	160	17.12	2.00141364181834
161	161	17.13	2.00834119198764
162	162	17.15	2.01697343021216
163	163	17.17	2.01035199691874
164	164	17.24	1.93907194296653
165	165	17.29	1.95554120747721
166	166	17.34	1.93437798318172
167	167	17.38	1.93207900794178
168	168	17.4	1.91748994176441
169	169	17.43	1.91356138436089
170	170	17.47	1.95119750849874
171	171	17.51	1.92534924025998
172	172	17.56	1.94011350287565
173	173	17.58	1.96010719146178
174	174	17.59	1.95966911245318
175	175	17.63	1.97793382655291
176	176	17.64	1.96700048527979
177	177	17.68	1.94821855949366
178	178	17.72	1.96987411790805
179	179	17.78	1.97243632356156
180	180	17.8	1.97458600698726
181	181	17.82	1.97141184090607
182	182	17.87	1.98303410016677
183	183	17.9	1.97202659436654
184	184	17.94	1.97366500079257
185	185	17.97	1.99218168819711
186	186	18	2.01007563051842
187	187	18.06	2.01419207052597
188	188	18.09	2.00552267803713
189	189	18.12	2.03146958797534
190	190	18.15	2.01697343021216
191	191	18.19	1.99845900229111
192	192	18.21	1.99643621880529
193	193	18.27	2.02935527404218
194	194	18.28	2.00544712765462
195	195	18.33	1.99015252448325
196	196	18.35	1.97138622201831
197	197	18.37	1.96255347993785
198	198	18.39	1.97915909089459
199	199	18.44	1.96082852000079
