group,length,distance
"AB, SS, ML",178.3,0
"AB, SS, ML",178.3,18.6
"AB, SS, ML",178.3,15.1
"AB, SS, ML",178.3,12.3
"AB, SS, ML",178.3,12.8
"AB, SS, ML",178.3,0.9
"AB, SS, ML",178.3,1.9
"AB, SS, ML",178.3,10.3
"AB, SS, ML",178.3,14.8
"AB, SS, ML",178.3,9.2
"AB, SS, ML",178.3,16.9
"AB, SS, ML",178.3,18
"AB, SS, ML",178.3,23.05
"AB, SS, ML",178.3,0
"AB, SS, ML",178.3,9.9
"HA, JB, BD, VM",112.8,2.41
"HA, JB, BD, VM",112.8,7.93
"HA, JB, BD, VM",112.8,7.33
"HA, JB, BD, VM",112.8,0
"HA, JB, BD, VM",112.8,6.38
"HA, JB, BD, VM",112.8,9.17
"HA, JB, BD, VM",112.8,9.51
"HA, JB, BD, VM",112.8,7.83
"HA, JB, BD, VM",112.8,0
"HA, JB, BD, VM",112.8,1.43
"HA, JB, BD, VM",112.8,2.48
"HA, JB, BD, VM",112.8,3.72
"HA, JB, BD, VM",112.8,0.86
"HA, JB, BD, VM",112.8,4.13
"HA, JB, BD, VM",112.8,6.9
"HA, JB, BD, VM",112.8,12.01
"HA, JB, BD, VM",112.8,7.68
"HA, JB, BD, VM",112.8,5.65
"HA, JB, BD, VM",112.8,9.3
"HA, JB, BD, VM",112.8,9.6
"HA, JB, BD, VM",112.8,3.94
"HA, JB, BD, VM",112.8,16.45
"HA, JB, BD, VM",112.8,13.18
"HA, JB, BD, VM",112.8,17.78
"HA, JB, BD, VM",112.8,10.4
"HA, JB, BD, VM",112.8,9.31
"HA, JB, BD, VM",112.8,10.43
"HA, JB, BD, VM",112.8,14.92
"HA, JB, BD, VM",112.8,15.39
"HA, JB, BD, VM",112.8,15.69
"HA, JB, BD, VM",112.8,6.12
"HA, JB, BD, VM",112.8,4.4
"HA, JB, BD, VM",112.8,4.8
"HA, JB, BD, VM",112.8,3.43
"HA, JB, BD, VM",112.8,2.51
"HA, JB, BD, VM",112.8,2.6
"HA, JB, BD, VM",112.8,2.68
"HA, JB, BD, VM",112.8,2.66
"HA, JB, BD, VM",112.8,8.31
"HA, JB, BD, VM",112.8,17.35
"HA, JB, BD, VM",112.8,15.77
"HA, JB, BD, VM",112.8,2.96
"HA, JB, BD, VM",112.8,0
"HA, JB, BD, VM",112.8,0.2
"HA, JB, BD, VM",112.8,0.1
"HA, JB, BD, VM",112.8,3.4
"HA, JB, BD, VM",112.8,6.82
"HA, JB, BD, VM",112.8,1.15
"HA, JB, BD, VM",112.8,6.3
"HA, JB, BD, VM",112.8,11.4
"CB, CC, MZ",136.5,5.6
"CB, CC, MZ",136.5,7.8
"CB, CC, MZ",136.5,20
"CB, CC, MZ",136.5,14.3
"CB, CC, MZ",136.5,6.5
"CB, CC, MZ",136.5,8.8
"CB, CC, MZ",136.5,18.2
"CB, CC, MZ",136.5,18.2
"CB, CC, MZ",136.5,20.3
"CB, CC, MZ",136.5,16.3
"CB, CC, MZ",136.5,9.3
"CB, CC, MZ",136.5,5.6
"CB, CC, MZ",136.5,16
"CB, CC, MZ",136.5,17.5
"CB, CC, MZ",136.5,17.7
"CB, CC, MZ",136.5,6.7
"CB, CC, MZ",136.5,11.3
"CB, CC, MZ",136.5,7.2
"CB, CC, MZ",136.5,17.8
"CB, CC, MZ",136.5,11.6
"CB, CC, MZ",136.5,19.2
"CB, CC, MZ",136.5,14.6
"CB, CC, MZ",136.5,13.2
"CB, CC, MZ",136.5,5
"CB, CC, MZ",136.5,2.6
"CB, CC, MZ",136.5,2.9
"CB, CC, MZ",136.5,9.4
"CB, CC, MZ",136.5,8.5
"CB, CC, MZ",136.5,1.3
"CB, CC, MZ",136.5,2.1
"CB, CC, MZ",136.5,6.5
"CB, CC, MZ",136.5,4.6
"CB, CC, MZ",136.5,10.4
"CB, CC, MZ",136.5,8.3
"CB, CC, MZ",136.5,0.9
"CB, CC, MZ",136.5,9.4
"CB, CC, MZ",136.5,9.4
"CB, CC, MZ",136.5,6.5
"CB, CC, MZ",136.5,5.5
"CB, CC, MZ",136.5,8
"CB, CC, MZ",136.5,15.4
"CB, CC, MZ",136.5,15.4
"CB, CC, MZ",136.5,14.3
"CB, CC, MZ",136.5,14.7
"CB, CC, MZ",136.5,20.2
"CB, CC, MZ",136.5,20.6
"CB, CC, MZ",136.5,22.7
"CB, CC, MZ",136.5,24.2
"CB, CC, MZ",136.5,3.4
"CB, CC, MZ",136.5,0.2
"KH, NT, BS",125.75,2
"KH, NT, BS",125.75,3.4
"KH, NT, BS",125.75,3.1
"KH, NT, BS",125.75,5.8
"KH, NT, BS",125.75,8.4
"KH, NT, BS",125.75,1.5
"KH, NT, BS",125.75,4
"KH, NT, BS",125.75,9.35
"KH, NT, BS",125.75,5.2
"KH, NT, BS",125.75,7.4
"KH, NT, BS",125.75,7.05
"KH, NT, BS",125.75,5.6
"KH, NT, BS",125.75,2.4
"KH, NT, BS",125.75,3.37
"KH, NT, BS",125.75,4.4
"KH, NT, BS",125.75,8.9
"KH, NT, BS",125.75,9.4
"KH, NT, BS",125.75,2.8
"KH, NT, BS",125.75,0
"KH, NT, BS",125.75,0
"KH, NT, BS",125.75,7.7
"KH, NT, BS",125.75,5.1
"KH, NT, BS",125.75,6.1
"KH, NT, BS",125.75,6.2
"KH, NT, BS",125.75,7.5
"KH, NT, BS",125.75,10.6
"KH, NT, BS",125.75,10.85
"KH, NT, BS",125.75,0.8
"KH, NT, BS",125.75,2.99
"KH, NT, BS",125.75,5.2
"KT, MRD, BC",80.15,5.9
"KT, MRD, BC",80.15,3.62
"KT, MRD, BC",80.15,3.1
"KT, MRD, BC",80.15,2.1
"KT, MRD, BC",80.15,4.95
"KT, MRD, BC",80.15,7.8
"KT, MRD, BC",80.15,4.4
"KT, MRD, BC",80.15,4.4
"KT, MRD, BC",80.15,1.8
"KT, MRD, BC",80.15,3.6
"KT, MRD, BC",80.15,4.1
"KT, MRD, BC",80.15,5.05
"KT, MRD, BC",80.15,6.7
"KT, MRD, BC",80.15,12.55
"KT, MRD, BC",80.15,4.7
"KT, MRD, BC",80.15,2.73
"KT, MRD, BC",80.15,3.64
"KT, MRD, BC",80.15,6.05
"KT, MRD, BC",80.15,1.82
"KT, MRD, BC",80.15,7.11
"KT, MRD, BC",80.15,2.2
"KT, MRD, BC",80.15,12.3
"KT, MRD, BC",80.15,8.34
AB JA SK,164,2.6
AB JA SK,164,1.2
AB JA SK,164,3.4
AB JA SK,164,6.5
AB JA SK,164,13.9
AB JA SK,164,2.5
AB JA SK,164,9.8
AB JA SK,164,5.9
AB JA SK,164,1.5
AB JA SK,164,5.3
AB JA SK,164,3.4
AB JA SK,164,1.2
AB JA SK,164,4.9
AB JA SK,164,5.5
AB JA SK,164,8
AB JA SK,164,5.1
AB JA SK,164,5.2
AB JA SK,164,2.5
AB JA SK,164,4.3
AB JA SK,164,12
"HB, SI, BM",48,6.5
"HB, SI, BM",48,12.7
"HB, SI, BM",48,7.1
"HB, SI, BM",48,7.1
"HB, SI, BM",48,3.9
"HB, SI, BM",48,0
"HB, SI, BM",48,8.3
"HB, SI, BM",48,2.5
"HB, SI, BM",48,8.7
"HB, SI, BM",48,11.5
"HB, SI, BM",48,13
"HB, SI, BM",48,16
"HB, SI, BM",48,18
"HB, SI, BM",48,11.5
"HB, SI, BM",48,7
"HB, SI, BM",48,14
"HB, SI, BM",48,8
"NL, MS, MM",155,8.4
"NL, MS, MM",155,13.3
"NL, MS, MM",155,4
"NL, MS, MM",155,18.6
"NL, MS, MM",155,3.5
"NL, MS, MM",155,22.7
"NL, MS, MM",155,4.9
"NL, MS, MM",155,15.5
"NL, MS, MM",155,1.6
"NL, MS, MM",155,13.6
"NL, MS, MM",155,3.7
"NL, MS, MM",155,11.3
"NL, MS, MM",155,16.4
"NL, MS, MM",155,3.8
"NL, MS, MM",155,2.9
"NL, MS, MM",155,0.5
"NL, MS, MM",155,0.1
"NL, MS, MM",155,9.1
"NL, MS, MM",155,1.3
"NL, MS, MM",155,2.6
"NL, MS, MM",155,20.4
"NL, MS, MM",155,23.3
"NL, MS, MM",155,12
"NL, MS, MM",155,15.1
"NL, MS, MM",155,18.2
"NL, MS, MM",155,5
"NL, MS, MM",155,11.4
"NL, MS, MM",155,0.3
"NL, MS, MM",155,17.2
"NL, MS, MM",155,3
"NL, MS, MM",155,5.6
"NL, MS, MM",155,13
"NL, MS, MM",155,5.5
"NL, MS, MM",155,12.1
"NL, MS, MM",155,4.3
"NL, MS, MM",155,9.8
"NL, MS, MM",155,14.6
"NL, MS, MM",155,2
"NL, MS, MM",155,4.2
"NL, MS, MM",155,3.7
"NL, MS, MM",155,17.8
"NL, MS, MM",155,2.8
"NL, MS, MM",155,2.8
"NL, MS, MM",155,5
"NL, MS, MM",155,3.8
"NL, MS, MM",155,1.1
"NL, MS, MM",155,1.1
"NL, MS, MM",155,1.7
"NL, MS, MM",155,1.8
"NL, MS, MM",155,5.8
"NL, MS, MM",155,5.4
"EF, LB, YX",59,9.9
"EF, LB, YX",59,8
"EF, LB, YX",59,9.7
"EF, LB, YX",59,18.8
"EF, LB, YX",59,17
"EF, LB, YX",59,13.5
"EF, LB, YX",59,10.5
"EF, LB, YX",59,4.9
"EF, LB, YX",59,6.7
"EF, LB, YX",59,4
"EF, LB, YX",59,1.5
"EF, LB, YX",59,5.05
"EF, LB, YX",59,8.2
"EF, LB, YX",59,9.2
"EF, LB, YX",59,17.9
"EF, LB, YX",59,10.5
"EF, LB, YX",59,7.15
"EF, LB, YX",59,3.7
