File,RelativePath,Folder,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note,DateTime,
06100043.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-06-10 03:16:06,
06110044.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida macroura,1,,0,false,false,false,false,false,, 2021-06-11 15:50:57,
06120045.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,2,,0,false,false,false,false,false,, 2021-06-12 08:22:07,
06120046.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 08:22:40,
06120047.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 13:08:59,
06120048.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 13:53:07,
06120049.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 14:52:43,
06120050.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 14:58:48,
06130051.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-06-13 10:43:28,
06130052.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-13 14:38:43,
06130009.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-06-13 19:50:57,
06140010.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida asiatica,1,,0,false,false,false,false,false,, 2021-06-14 14:51:19,
06150011.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,true,false,false,, 2021-06-15 01:55:51,
06170012.JPG,,SC4_24AprTo8Jul,Ok,false,false,Unknown,1,,0,false,false,false,false,false,eyes on the left, 2021-06-17 00:50:54,
06170013.JPG,,SC4_24AprTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-17 11:57:51,
06190014.JPG,,SC4_24AprTo8Jul,Ok,false,false,,0,,0,false,false,false,false,false,, 2021-06-19 09:57:03,
06190015.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-19 11:37:39,
06190016.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-19 11:46:10,
06200017.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,2,,0,false,false,false,false,false,, 2021-06-20 13:36:05,
06200018.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-20 15:08:33,
06200019.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-20 16:01:04,
06210020.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,2,,0,false,false,false,false,false,, 2021-06-21 06:27:37,
06210021.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida asiatica,1,,0,false,false,false,false,false,, 2021-06-21 14:29:50,
06220022.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-06-22 00:34:07,
06220023.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-22 02:26:15,
06220024.JPG,,SC4_24AprTo8Jul,Ok,false,false,Lynx rufus,1,,0,false,false,false,false,false,, 2021-06-22 19:52:55,
06230025.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida macroura,1,,0,false,false,false,false,false,, 2021-06-23 09:23:15,
06230026.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida macroura,1,,0,false,false,false,false,false,, 2021-06-23 09:27:20,
06230027.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,true,false,false,false,, 2021-06-23 16:57:26,
06240028.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida asiatica,1,,0,false,false,false,false,false,, 2021-06-24 14:11:00,
06240029.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-06-24 21:28:10,
06250030.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-06-25 11:27:10,
06260031.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-06-26 10:55:30,
06260032.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,true,false,false,false,, 2021-06-26 12:19:08,
06260033.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,3,,0,false,true,false,false,false,, 2021-06-26 12:24:31,
06270034.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-27 04:14:13,
