C,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note
06260099.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,6:06:13,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260100.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,11:15:46,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260101.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,11:30:59,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260102.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,11:32:09,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260103.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,11:51:20,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260104.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,11:53:14,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260105.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,11:54:52,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260106.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,12:31:44,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260107.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,13:13:58,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260108.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,13:18:28,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
