File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
04250442.JPG,,SC6_21MarTo1May, 2021-04-25 14:05:33,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250443.JPG,,SC6_21MarTo1May, 2021-04-25 14:17:27,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250444.JPG,,SC6_21MarTo1May, 2021-04-25 14:22:42,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250445.JPG,,SC6_21MarTo1May, 2021-04-25 14:24:00,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250446.JPG,,SC6_21MarTo1May, 2021-04-25 14:26:14,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250447.JPG,,SC6_21MarTo1May, 2021-04-25 14:37:16,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250448.JPG,,SC6_21MarTo1May, 2021-04-25 14:41:30,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250449.JPG,,SC6_21MarTo1May, 2021-04-25 14:42:17,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250450.JPG,,SC6_21MarTo1May, 2021-04-25 15:04:37,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250451.JPG,,SC6_21MarTo1May, 2021-04-25 15:24:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250452.JPG,,SC6_21MarTo1May, 2021-04-25 15:50:04,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250453.JPG,,SC6_21MarTo1May, 2021-04-25 16:01:22,Ok,FALSE,FALSE,FALSE,Haemorhous mexicanus,1,,0,FALSE,FALSE,FALSE,FALSE,
04250454.JPG,,SC6_21MarTo1May, 2021-04-25 17:27:03,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04250455.JPG,,SC6_21MarTo1May, 2021-04-25 17:52:59,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260456.JPG,,SC6_21MarTo1May, 2021-04-26 09:31:43,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260457.JPG,,SC6_21MarTo1May, 2021-04-26 09:39:16,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260458.JPG,,SC6_21MarTo1May, 2021-04-26 11:17:55,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260459.JPG,,SC6_21MarTo1May, 2021-04-26 11:37:45,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260460.JPG,,SC6_21MarTo1May, 2021-04-26 11:40:07,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260461.JPG,,SC6_21MarTo1May, 2021-04-26 11:40:40,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260462.JPG,,SC6_21MarTo1May, 2021-04-26 11:53:16,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260463.JPG,,SC6_21MarTo1May, 2021-04-26 11:56:39,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260464.JPG,,SC6_21MarTo1May, 2021-04-26 12:17:05,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260465.JPG,,SC6_21MarTo1May, 2021-04-26 13:11:11,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260466.JPG,,SC6_21MarTo1May, 2021-04-26 13:34:11,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260467.JPG,,SC6_21MarTo1May, 2021-04-26 13:50:13,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260468.JPG,,SC6_21MarTo1May, 2021-04-26 14:37:35,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260469.JPG,,SC6_21MarTo1May, 2021-04-26 14:57:32,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260470.JPG,,SC6_21MarTo1May, 2021-04-26 15:14:32,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260471.JPG,,SC6_21MarTo1May, 2021-04-26 15:15:16,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04260472.JPG,,SC6_21MarTo1May, 2021-04-26 15:17:17,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04260473.JPG,,SC6_21MarTo1May, 2021-04-26 17:35:42,Ok,FALSE,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,TRUE,FALSE,
04260474.JPG,,SC6_21MarTo1May, 2021-04-26 18:16:13,Ok,FALSE,FALSE,FALSE,Zenaida asiatica,1,,0,FALSE,FALSE,FALSE,FALSE,
04260475.JPG,,SC6_21MarTo1May, 2021-04-26 18:16:46,Ok,FALSE,FALSE,FALSE,Zenaida macroura,1,,0,FALSE,FALSE,FALSE,FALSE,
04270476.JPG,,SC6_21MarTo1May, 2021-04-27 03:40:58,Ok,FALSE,FALSE,FALSE,Procyon lotor,1,,0,FALSE,FALSE,FALSE,FALSE,
04270477.JPG,,SC6_21MarTo1May, 2021-04-27 08:24:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04270478.JPG,,SC6_21MarTo1May, 2021-04-27 12:36:45,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04270479.JPG,,SC6_21MarTo1May, 2021-04-27 13:28:58,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04270480.JPG,,SC6_21MarTo1May, 2021-04-27 13:40:33,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04270481.JPG,,SC6_21MarTo1May, 2021-04-27 13:51:10,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04270482.JPG,,SC6_21MarTo1May, 2021-04-27 16:00:40,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04280483.JPG,,SC6_21MarTo1May, 2021-04-28 03:36:11,Ok,FALSE,FALSE,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,
04280484.JPG,,SC6_21MarTo1May, 2021-04-28 03:37:34,Ok,FALSE,FALSE,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,
04280485.JPG,,SC6_21MarTo1May, 2021-04-28 03:38:01,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04280486.JPG,,SC6_21MarTo1May, 2021-04-28 09:22:21,Ok,FALSE,FALSE,FALSE,Haemorhous mexicanus,1,,0,FALSE,FALSE,FALSE,FALSE,
04280487.JPG,,SC6_21MarTo1May, 2021-04-28 11:15:20,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04280488.JPG,,SC6_21MarTo1May, 2021-04-28 11:19:18,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04280489.JPG,,SC6_21MarTo1May, 2021-04-28 11:39:13,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04280490.JPG,,SC6_21MarTo1May, 2021-04-28 11:52:11,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04280491.JPG,,SC6_21MarTo1May, 2021-04-28 11:59:14,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04280492.JPG,,SC6_21MarTo1May, 2021-04-28 12:01:57,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
04280493.JPG,,SC6_21MarTo1May, 2021-04-28 12:12:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
