File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
07080800.JPG,,SC7_13JunTo11Jul, 2021-07-08 11:33:21,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080801.JPG,,SC7_13JunTo11Jul, 2021-07-08 11:34:47,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080802.JPG,,SC7_13JunTo11Jul, 2021-07-08 11:59:24,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080803.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:03:03,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080804.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:05:17,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080805.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:06:19,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080806.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:11:32,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080807.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:13:54,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080808.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:15:52,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080809.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:19:33,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080810.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:23:43,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080811.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:25:44,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080812.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:32:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080813.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:41:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080814.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:43:52,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
07080815.JPG,,SC7_13JunTo11Jul, 2021-07-08 12:49:21,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
