File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,water,species1,species1count,species2,species2count,Outreach,Flag,Note,OHV,
01270002.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,27-Jan-21,9:13:08,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
01270003.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,27-Jan-21,9:13:41,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01270004.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,27-Jan-21,9:14:13,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
01270005.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,27-Jan-21,9:14:45,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01270006.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,27-Jan-21,9:15:18,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01280007.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,28-Jan-21,15:29:08,Ok,FALSE,FALSE,Canis familiaris,1,,0,FALSE,FALSE,,FALSE,
01290008.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,29-Jan-21,14:14:31,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01290009.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,29-Jan-21,14:25:20,Ok,FALSE,FALSE,Canis familiaris,1,,0,FALSE,FALSE,,FALSE,
01310010.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,31-Jan-21,5:38:02,Ok,FALSE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
01310011.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,31-Jan-21,5:38:54,Ok,TRUE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
02010012.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,1-Feb-21,13:56:53,Ok,FALSE,FALSE,Canis familiaris,1,,0,FALSE,FALSE,,FALSE,
02020013.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,2-Feb-21,10:02:54,Ok,FALSE,FALSE,Canis familiaris,1,,0,FALSE,FALSE,,FALSE,
02020014.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,2-Feb-21,11:12:37,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
02020015.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,2-Feb-21,11:39:00,Ok,FALSE,FALSE,Homo sapien,1,Equs caballus,1,FALSE,FALSE,,FALSE,
02020016.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,2-Feb-21,21:24:29,Ok,FALSE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
02040017.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,4-Feb-21,23:30:07,Ok,FALSE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
02050018.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,5-Feb-21,18:38:37,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,,FALSE,
02060019.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,10:28:11,Ok,FALSE,FALSE,Homo sapien,1,Equs caballus,1,FALSE,FALSE,,FALSE,
02060020.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,10:40:41,Ok,TRUE,FALSE,Homo sapien,1,Equs caballus,1,FALSE,FALSE,,FALSE,
02060021.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,16:24:46,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
02060022.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,16:25:21,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
02060023.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,16:25:54,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
02060024.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,16:26:27,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
02060025.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,16:26:59,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
02060026.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,6-Feb-21,16:27:31,Ok,FALSE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
02060001.JPG,,SCR4_11JanTo7Mar,6-Feb-21,16:30:03,Ok,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
